katz_centrality,vertex
0.004622053,HoCP20-0509
0.004622053,HoCP96-0507
0.00462205,CP97-2054
0.00462205,L07-0059
0.00462205,CP16-4157
0.00462205,CP18-1338
0.00462205,CP98-1002
0.004622053,CP36-0046
0.0046220473,CPCL02-0352
0.00462205,CPCL06-3286
0.004622053,CP16-1444
0.004622053,CP13-1590
0.00462205,CP14-4571
0.00462205,HoCP91-0574
0.004622053,CP19-2075
0.004622053,CP17-1801
0.00462205,CP02-2300
0.00462205,CP94-2062
0.004622053,CP19-4319
0.00462205,CP96-1572
0.004622053,CP15-4170
0.00462205,CP19-2391
0.004622053,CP03-1245
0.00462205,HoCP11-0516
0.0046220473,CP17-4372
0.0046220473,CP03-1446
0.004622053,CP14-2006
0.0046220515,CP17-4510
0.004622053,L64-0030
0.00462205,CP98-1524
0.00462205,CP99-1415
0.004622053,CP00-1955
0.00462205,CP92-1260
0.00462205,CP01-1016
0.0046220473,CP93-1249
0.00462205,CP16-2051
0.0046220473,CP18-4013
0.004622053,CP11-2032
0.004622053,CP01-1886
0.00462205,CPCL06-3280
0.004622053,L11-0169
0.004622053,CP02-1163
0.00462205,CP12-1734
0.004622053,CP04-2109
0.00462205,CP06-2736
0.004622053,L80-0022
0.004622053,CP07-1537
0.004622053,CP03-2088
0.004622053,HoCP13-0729
0.004622053,CP11-2349
0.004622053,CP19-4536
0.004622053,CP15-2018
0.00462205,CP18-1408
0.00462205,CP94-1728
0.004622053,CP99-1772
0.004622053,TCP98-4450
0.004622053,CP19-2272
0.0046220473,CP14-2544
0.00462205,CP95-1953
0.0046220473,CP13-1064
0.00462205,CP90-0943
0.004622053,CP00-1792
0.0046220473,CP92-1807
0.00462205,CP13-1359
0.00462205,CP10-1061
0.004622053,CP89-0824
0.00462205,CP19-2118
0.00462205,CP14-4321
0.00462205,CP07-2450
0.004622053,CP16-2085
0.004622053,CP16-1242
0.0046220473,CPCL05-1260
0.00462205,CP16-2489
0.004622053,CP11-1052
0.004622053,CP14-2016
0.0046220473,CP94-1702
0.004622053,CP02-1229
0.0046220473,CP12-1133
0.0046220473,CP99-1374
0.00462205,CP92-1688
0.00462205,CP19-1888
0.004622053,CP19-1792
0.00462205,CP12-2009
0.004622053,CP04-1825
0.00462205,CP18-4678
0.0046220487,CP06-2804
0.00462205,CP00-1940
0.00462205,CP95-1576
0.00462205,CP10-2229
0.00462205,CP12-1730
0.004622053,CP18-4261
0.00462205,CP13-1319
0.0046220515,CP02-1965
0.004622053,CP97-1239
0.004622053,CP01-1744
0.00462205,CP14-4362
0.004622053,CP18-1037
0.00462205,CP95-1195
0.004622053,CP84-0739
0.0046220473,CP93-1265
0.004622053,Ho96-0019
0.00462205,CP95-1140
