labels,vertex
11906,CP98-1526
11907,CP90-0975
11908,CP16-1861
11909,CP09-2158
11910,CP09-1133
11911,CP52-0067
11912,CP09-1248
11913,CP12-1911
11914,CP92-1156
11915,CP11-1616
11916,CP17-4505
11917,CP12-1391
11918,CP00-1378
11919,CP18-1124
13040,CP10-1784
13041,CP93-1159
13042,CP99-1874
13043,CP98-1125
13044,CP14-4367
13045,CP98-1132
13046,CP05-1528
13047,L97-0140
13048,CP14-2182
13049,CP14-1446
13050,CP99-2026
13051,CPCL06-3335
13052,CP15-2334
13053,HoCP94-0844
13054,Ho09-9110
13055,IND81-0161
3808,CP13-2406
3809,Ho94-0113
3810,CP97-1353
3811,CP18-1014
3812,10P5
3813,CP16-2079
3814,Mol6076
3815,L18-0452
3816,CP17-1751
3817,CP12-1571
3818,CP07-1830
3819,CP86-1670
3820,CP03-1956
3821,CP93-1321
3822,CP07-1861
3823,CP09-1815
352,CP19-1118
353,CP17-1280
354,CP06-2912
355,CP97-1898
356,CP92-1556
357,US87-1017
358,CP19-1840
359,CP10-1358
360,01P08
361,Ho15-0954
362,CP13-2126
363,CP97-1943
364,CP12-1573
365,CPCL02-2612
366,Mix88-L
367,CP11-1511
496,CP98-1653
497,CP09-1447
498,LCP87-0497
499,CP03-1183
500,CP98-1460
501,CP14-2017
502,CP19-2250
503,CP06-2098
504,CP00-1201
505,CP06-3024
506,CP00-1375
507,CP06-3061
508,CP09-2002
509,CP92-1705
510,CP10-1525
511,CP11-2041
5968,CP16-4929
5969,CP12-1675
5970,Ho13-9155
5971,CP03-1129
5972,CP92-1663
5973,CP11-1947
5974,CP02-1556
5975,CP13-2040
5976,CP12-2153
5977,CP06-2540
5978,Mix 07 J
5979,CP94-1713
5980,CP98-1641
5981,CP14-2191
5982,CP19-1922
5983,CP98-1359
20432,CP16-1024
20433,MX10-06
20434,CP18-2021
20435,CP15-4245
20436,CP17-1187
20437,CPCL02-1753
20438,CP16-1876
20439,CP19-1893
20440,CP15-1175
20441,CP16-1112
20442,CP14-2271
20443,CP96-1216
20444,L91-0276
20445,CP14-1453
20446,CP16-2451
20447,CP95-2005
22080,CP17-4535
22081,CP18-1391
22082,Ho89-0013
22083,CP06-2608
22084,US90-0025
22085,CP19-1660
22086,CP03-1840
22087,CP19-2377
22088,L65-0047
22089,CP93-1083
22090,CP15-1361
22091,CP95-1339
22092,CP11-1592
22093,HoCP97-0620
22094,CP01-1521
22095,CP98-1825
9520,CP96-1466
9521,CP02-1259
9522,CP99-1546
9523,L97-0156
9524,Ho09-9132
9525,CPCL06-3300
9526,CP98-1642
9527,CP14-2320
9528,CP96-1584
9529,CP98-1888
9530,CPCL01-6605
9531,CP02-2018
9532,CP17-2114
9533,CP19-1496
9534,L90-0228
9535,CP07-2217
12080,L80-0045
12081,CP02-1334
12082,CP00-1178
12083,CP17-2236
12084,LCP85-0337
12085,CP12-2454
12086,CP12-2270
12087,CP19-4444
12088,CP09-1938
12089,CPCL06-3414
12090,CP14-2032
12091,CP09-2169
12092,CP97-1723
12093,CP19-1538
12094,CP95-1234
12095,CP16-4507
18256,CP04-1554
18257,Ho97-0011
18258,CP14-1601
18259,CP11-1010
18260,CP00-1162
18261,CP12-1027
18262,CP97-2105
18263,CP04-1734
18264,CP93-1107
18265,L85-0313
18266,CP94-1137
18267,CP03-1540
18268,CP04-1788
18269,CP03-1652
18270,CP95-1504
18271,CP91-0541
14080,CP04-1506
14081,CPCL06-3284
14082,HoCP11-0557
14083,LCP85-0320
14084,CP92-1077
14085,CP16-2114
14086,CP93-1562
14087,CP97-1147
14088,L89-0129
14089,US90-0026
14090,CP13-1360
14091,CP17-1928
14092,CP13-1692
14093,L09-0121
14094,CP03-1496
14095,L89-0144
13472,CP99-1165
13473,CP12-1536
13474,CP13-1511
13475,CP16-4901
13476,CP11-1448
13477,CP02-1674
13478,HoCP98-0740
13479,CP95-1435
13480,CP96-1256
13481,L98-0176
13482,CP03-1613
13483,CP18-1684
13484,CP16-4339
13485,CP13-2179
13486,CP99-1034
13487,CP92-1701
12704,CP95-1570
12705,CP19-1800
12706,CL82-2119
12707,CP95-1261
12708,HoCP97-0698
12709,CP14-2269
12710,CP89-0888
12711,CP03-2209
12712,CP93-1476
12713,CP00-1963
12714,CP15-1940
12715,CP13-1839
12716,CP94-1167
12717,CP94-1970
12718,CP14-2473
12719,CP10-1689
3504,CP02-2133
3505,Poly02P20
3506,CP17-2444
3507,CP15-1653
3508,HoCP16-0670
3509,CP99-1641
3510,HoCP98-0734
3511,CP06-2945
3512,CP95-1455
3513,CP03-1826
3514,CP00-1770
3515,CP13-2429
3516,CP12-1191
3517,CP15-2017
3518,CP18-1041
3519,CP19-1031
4592,CP12-2261
4593,CP90-0956
4594,CP17-4656
4595,CL47-0143
4596,CP00-1261
4597,CP06-2992
4598,POLY08-15
4599,CP96-1096
4600,CP03-1671
4601,Ho09-9136
4602,CP09-2112
4603,CP01-1770
4604,CP16-4575
4605,CP03-1020
4606,CPCL05-1165
4607,CP15-1172
8896,H28-4772
8897,CP06-2827
8898,CP15-4388
8899,CP95-1256
8900,CP09-1293
8901,CP96-1472
8902,CP11-1375
8903,CP11-2101
8904,CP94-1256
8905,CP15-2457
8906,CP13-1035
8907,CP98-1545
8908,CP00-1638
8909,CP01-1801
8910,CP11-1045
8911,CP15-2290
11456,CP01-1466
11457,CP06-3103
11458,CP62-0321
11459,L96-0053
11460,CP10-1011
11461,CP13-4160
11462,CP92-0658
11463,CP17-2398
11464,CPCL01-6219
11465,CP12-1134
11466,Ho16-9009
11467,CP99-1508
11468,CP13-2271
11469,CP91-0551
11470,CP01-2564
11471,CP01-1421
20240,CP10-1039
20241,CP93-1253
20242,CP95-1436
20243,CP09-1572
20244,CP01-2680
20245,CP01-2342
20246,CP97-1252
20247,CP93-1263
20248,CP00-1844
20249,CP19-1856
20250,Ho94-0810
20251,CP00-1143
20252,CP98-1548
20253,CP10-2334
20254,CP15-1663
20255,CP19-1750
528,CP13-1362
529,L78-0014
530,CP93-1264
531,CP00-1505
532,CP95-1423
533,CP16-4708
534,CP19-1443
535,CP16-1642
536,CP96-1554
537,CP97-1623
538,CP11-1564
539,L14-0288
540,CP01-1784
541,CP95-1297
542,Ho12-9002
543,CP17-1430
19680,CP18-2019
19681,CP00-1055
19682,CP07-2171
19683,CP11-1295
19684,CP07-2199
19685,CPCL06-3205
19686,CP16-1523
19687,CP91-1249
19688,CP17-1329
19689,CP98-1777
19690,L11-0190
19691,CPCL05-1130
19692,CP92-1346
19693,CP15-2152
19694,CP16-1673
19695,L98-0198
17072,CP03-1702
17073,Ho05-9022
17074,CP99-2051
17075,CP15-1187
17076,CP16-2063
17077,CP94-1015
17078,CP02-1863
17079,CPCL06-3412
17080,CP99-1528
17081,HoCP20-0519
17082,CP95-1833
17083,CP14-1981
17084,CP18-4331
17085,CP10-1673
17086,CP14-2074
17087,CPCL06-3297
16272,CP02-2534
16273,CP16-1166
16274,CP98-1580
16275,CP05-1680
16276,CP16-1838
16277,CP99-1742
16278,CP09-2270
16279,CP99-1328
16280,CP14-1031
16281,CP13-1665
16282,CP00-2023
16283,CP16-4063
16284,CP02-2580
16285,CP93-1236
16286,CP00-1514
16287,CP13-1454
16416,CP92-1564
16417,CP12-1723
16418,CP98-1299
16419,CP06-2354
16420,CP15-4677
16421,CP15-2554
16422,CP97-1472
16423,CP97-1940
16424,CP01-2308
16425,CPCL02-8069
16426,CP13-2470
16427,CP09-1901
16428,CP01-2001
16429,CP09-2273
16430,CP90-1524
16431,CP18-1804
23472,CP94-1401
23473,CP17-4218
23474,CP07-1451
23475,CP03-2417
23476,CP18-1744
23477,CP16-1626
23478,CP09-1409
23479,CP1165
23480,CP02-1365
23481,CP02-2200
23482,CP15-2419
23483,CP03-1106
23484,CP15-2233
23485,CP98-1991
23486,CP15-1418
23487,CP97-1204
13536,CP15-2087
13537,CP88-0774
13538,CP04-1359
13539,CP97-1571
13540,CP90-1583
13541,Ho18-9244
13542,CP15-2411
13543,CP10-1178
13544,CP01-1539
13545,CP16-1571
13546,CP94-1080
13547,CP01-2229
13548,CP98-1167
13549,CP00-1889
13550,CP18-4178
13551,CP94-1076
17632,CP16-1842
17633,CP18-4220
17634,CP13-1277
17635,CP97-1971
17636,CPCL06-3528
17637,CP00-1863
17638,CP12-1163
17639,CP12-1836
17640,CPCL02-7506
17641,CP14-4607
17642,CP14-4467
17643,CP94-1489
17644,CP17-1064
17645,CP13-1350
17646,CP09-1893
17647,CP18-1896
13584,CP11-1905
13585,CP17-1189
13586,Ho94-0811
13587,CP06-2495
13588,CP94-1109
13589,CP97-1298
13590,CP74-0328
13591,CPCL02-0685
13592,CP14-1677
13593,CP09-1124
13594,CP11-1695
13595,CP14-2230
13596,Ho00-0021
13597,CP19-4611
13598,CP13-2246
13599,CP06-2467
28208,CP97-1138
28209,CP10-1603
28210,CP06-2876
28211,CP02-2278
28212,HoCP99-0818
28213,CP01-1459
28214,HoCP92-0624
28215,CP93-1064
28216,CP16-1306
28217,CP01-1713
28218,CP13-1494
28219,CP01-1471
28220,CP72-0339
28221,CP13-1453
28222,CP03-2068
28223,CP98-1790
27408,CP12-1124
27409,CP18-1773
27410,Ho13-9112
27411,CP04-1728
27412,CP00-1691
27413,CP12-1106
27414,CP09-2236
27415,CP97-1557
27416,CP11-1764
27417,CP19-1364
27418,CP91-1872
27419,CP02-1488
27420,CP01-1176
27421,CPCL14-4089
27422,CP99-1795
27423,CP00-1068
5344,L84-0276
5345,CP16-1869
5346,CP95-1539
5347,CP98-1272
5348,CP97-2115
5349,CP15-1557
5350,CP98-1269
5351,CP98-1350
5352,CP98-2014
5353,CP15-2128
5354,CL93-4076
5355,CP16-1088
5356,CP10-1242
5357,CP04-1665
5358,CP02-1555
5359,CP93-1770
16608,CP94-2080
16609,CPCL15-4011
16610,CP14-2077
16611,CP92-1524
16612,09P22
16613,CP03-2004
16614,CP14-2467
16615,CP19-1792
16616,CP12-2009
16617,CP04-1825
16618,CP18-4678
16619,CP06-2804
16620,CP00-1940
16621,CP95-1576
16622,CP10-2229
16623,CP12-1730
1344,CP95-1857
1345,CP70-0321
1346,CP99-1047
1347,CP08-1277
1348,CP16-2198
1349,CP04-1254
1350,CP99-1397
1351,CP94-1441
1352,CP17-1163
1353,CP04-1953
1354,CP17-1210
1355,CP93-1412
1356,CP53-0063
1357,CP96-1902
1358,CP92-1208
1359,CP15-2347
1520,CP98-1658
1521,CP15-1869
1522,CP11-2422
1523,CP95-1229
1524,CP17-2461
1525,CP13-2430
1526,CP13-1846
1527,CP19-1620
1528,CP00-1315
1529,CP13-2372
1530,CP96-1368
1531,CP15-1124
1532,CP19-4810
1533,CP07-1247
1534,CP02-1872
1535,CP61-0024
18704,CP13-1104
18705,LCP85-0346
18706,CP11-1892
18707,CP83-0603
18708,CP15-4527
18709,HoCP98-0773
18710,CP09-2368
18711,CP17-1783
18712,CP00-1540
18713,CP14-4501
18714,CP06-2407
18715,CP13-1297
18716,HoCP22-712
18717,CP17-1172
18718,CP04-1173
18719,Ho15-0939
12000,CP91-1778
12001,CP07-1013
12002,LHo89-0106
12003,CP13-2107
12004,CP12-1697
12005,CP97-1200
12006,CP11-1376
12007,CP09-2201
12008,CP19-4832
12009,CP10-2046
12010,CP03-1902
12011,CP16-4108
12012,CP18-4010
12013,CP10-1841
12014,CP00-1199
12015,CP95-1942
9600,CPCL06-3198
9601,CP01-1777
9602,CP98-1728
9603,L91-0248
9604,CP15-4765
9605,CPCL14-4142
9606,CP06-2481
9607,CP14-1632
9608,CP17-1184
9609,CP12-2334
9610,CPCL06-3283
9611,CP11-1013
9612,CP93-1342
9613,CP16-1469
9614,CP97-1970
9615,CP14-1592
13984,CP19-2436
13985,CP17-4644
13986,CP92-1111
13987,CP12-1700
13988,CP16-1355
13989,CP19-1172
13990,CP27-0046
13991,CP01-2149
13992,CP09-1984
13993,CP17-4783
13994,CP03-1575
13995,CP92-1867
13996,CP00-1329
13997,CP19-1408
13998,CP17-1084
13999,CP90-1327
11424,CP11-1854
11425,CP94-1560
11426,CP18-1329
11427,CPCL14-4112
11428,CP10-1649
11429,CP01-1718
11430,CP10-2033
11431,CP17-1923
11432,CP14-1417
11433,CP17-2251
11434,CP13-1218
11435,CP15-4223
11436,CP12-1049
11437,CP08-2014
11438,CP16-2497
11439,CP34-0120
16672,CP17-2017
16673,CP92-1045
16674,CP96-1939
16675,CP93-1045
16676,CP17-1989
16677,CP07-1350
16678,CP11-1047
16679,CP94-2102
16680,CP12-1487
16681,CP17-1090
16682,CP98-1920
16683,Ho14-9234
16684,CP14-1713
16685,CP19-2279
16686,CP07-1316
16687,CP13-1433
27024,CP18-2346
27025,Ho11-9343
27026,H97-453
27027,CP03-2313
27028,CP05-1639
27029,CP14-4449
27030,CP03-1160
27031,CP14-1825
27032,CP10-1402
27033,L16-0373
27034,CP19-2026
27035,CP99-1151
27036,CP12-1869
27037,CP10-1994
27038,CP12-2418
27039,CP17-2154
5760,CP01-2432
5761,L05-0439
5762,CP19-1945
5763,Ho87-0001
5764,CP97-1815
5765,CP96-1317
5766,CP00-1537
5767,HoL14-0857
5768,CP87-0641
5769,CP01-1750
5770,CP17-1593
5771,CP01-1494
5772,CP11-1012
5773,L60-0024
5774,CP14-4413
5775,CP14-2540
19760,CP09-1343
19761,CP94-1241
19762,CP13-2003
19763,CP93-1293
19764,CP17-2405
19765,CP16-1919
19766,CP03-1550
19767,CP02-2453
19768,CP79-0302
19769,L70-0090
19770,CP15-1160
19771,CP10-2384
19772,CP10-1564
19773,CP18-2018
19774,CP15-1322
19775,CP10-2292
15408,CP01-1743
15409,US97-1053
15410,CP01-1918
15411,CP04-2123
15412,CP14-1745
15413,CP00-1536
15414,CP15-2316
15415,L73-0037
15416,CP00-1031
15417,CP95-1199
15418,Ho72-0028
15419,L98-0166
15420,Ho07-9005
15421,US01-0039
15422,CP14-1702
15423,CP14-4278
17344,Ho14-9256
17345,L95-0455
17346,CP15-1354
17347,CP11-2338
17348,Ho94-0001
17349,CP10-1312
17350,CP02-1650
17351,CP98-1482
17352,CP04-1821
17353,CP99-1438
17354,CP16-2184
17355,LCP82-0097
17356,CP12-2294
17357,CP84-0701
17358,HoCP12-0658
17359,H68-1158
29184,CP11-2402
29185,CP18-4313
29186,CP98-1582
29187,CP12-1683
29188,Ho18-9252
29189,CP09-2269
29190,CP03-2380
29191,CP88-0722
29192,CPCL06-3215
29193,CP18-4076
29194,CP92-1608
29195,CP99-1379
29196,CP16-1106
29197,CP99-1587
29198,CP14-1888
29199,CP11-2238
1360,CP96-1506
1361,POLY06-15
1362,Ho00-0566
1363,CP16-2065
1364,CP00-1893
1365,CP15-1703
1366,CP12-2420
1367,Ho18-9246
1368,CP19-1400
1369,CP14-2416
1370,Ho07-0600
1371,CP65-0349
1372,CP00-2133
1373,HoL15-0500
1374,CP12-2172
1375,CP01-2387
15744,CP96-1848
15745,CP14-1946
15746,CP94-1543
15747,CP94-1546
15748,CP17-1313
15749,CP04-1224
15750,CP94-1919
15751,L89-0100
15752,CP97-1658
15753,US88-1006
15754,CP01-1841
15755,CP00-1683
15756,CP95-1015
15757,CP15-4625
15758,CP93-1199
15759,CP01-1337
20400,CP14-2142
20401,CP01-1342
20402,CP43-0074
20403,Ho17-9149
20404,CP16-2169
20405,CP10-2368
20406,CP96-1150
20407,CP01-1711
20408,CP02-1809
20409,B45151
20410,CP02-1530
20411,CP93-1533
20412,CP13-2368
20413,CP13-1164
20414,CP13-1086
20415,CP11-2229
22016,HoCP98-0755
22017,CP01-1298
22018,CP14-1970
22019,CP19-1073
22020,CP16-2469
22021,CP02-2392
22022,L18-0456
22023,CP19-2433
22024,HoCP01-0527
22025,M2
22026,CP09-2332
22027,CP02-1725
22028,Ho73-0067
22029,L97-0147
22030,CP11-1690
22031,CP17-2244
1728,CP79-0326
1729,CP09-1070
1730,HoCP14-0876
1731,CP15-1235
1732,CP01-2262
1733,CP13-2042
1734,CP15-1131
1735,CP03-1661
1736,CP17-4465
1737,CP02-1187
1738,CP97-1057
1739,CP11-1706
1740,MER60-10
1741,CP03-2170
1742,CP19-1266
1743,CP16-2507
25648,95P19
25649,CP14-1928
25650,CP92-1864
25651,CP03-2227
25652,CP97-2038
25653,TA8
25654,CP98-1095
25655,CP06-2090
25656,CP13-1698
25657,CPCL06-3305
25658,CP16-2326
25659,CP17-1299
25660,Ho82-0038
25661,CP01-1788
25662,CP92-1163
25663,CP15-2033
13168,CP94-1430
13169,CP93-1347
13170,CP09-1621
13171,CP98-1614
13172,Ho12-0609
13173,CP97-1972
13174,CP14-2121
13175,CP82-1800
13176,CP06-2214
13177,CP10-1989
13178,CP10-1338
13179,CPCL13-4049
13180,CP03-1084
13181,HoCP98-0739
13182,CP48-0117
13183,CP14-2484
15616,CP03-2235
15617,Ho15-0963
15618,CP12-2080
15619,CP12-1585
15620,CP07-1533
15621,CP95-1990
15622,CP10-1397
15623,CP16-1094
15624,CP19-1960
15625,LCP85-0338
15626,POLY10-02
15627,CP98-2021
15628,CP12-1152
15629,CPCL02-6860
15630,HoCP12-0662
15631,CP03-1335
10704,CP93-1279
10705,CP17-1873
10706,CP92-1028
10707,CP19-2019
10708,11P26
10709,CP14-1350
10710,CP14-1140
10711,CP95-1245
10712,CP02-2098
10713,CP91-1290
10714,CP01-2561
10715,CP96-1427
10716,CP06-2191
10717,HoCP96-0569
10718,CP99-1785
10719,CP10-1981
19552,CP13-1747
19553,CP14-4540
19554,CP02-1996
19555,CP01-1682
19556,CP10-1436
19557,CP06-3086
19558,CP09-2380
19559,CP15-1990
19560,HoCP99-0806
19561,CP94-2020
19562,CP18-1370
19563,CP97-1067
19564,Ho17-9131
19565,CP16-1707
19566,L97-0281
19567,CP17-4035
17888,CP16-1141
17889,CP99-2092
17890,CP11-2299
17891,CP18-1318
17892,CP09-2016
17893,L13-0254
17894,CP06-2274
17895,CP16-2059
17896,CP17-1995
17897,CP14-1496
17898,HoCP93-0760
17899,CP92-1114
17900,CPCL06-3314
17901,CP11-2516
17902,CP09-2049
17903,CP12-2444
9568,CP15-1469
9569,CP02-1876
9570,CP95-2209
9571,CP98-2048
9572,CP92-1878
9573,LCP81-0019
9574,CP16-1448
9575,CP10-1272
9576,CP03-1934
9577,CP00-1297
9578,CP96-1099
9579,CP01-1875
9580,CP12-1915
9581,POLY06-28
9582,97P10
9583,CP00-2036
16288,CP93-1286
16289,CP04-1207
16290,HoCP19-0952
16291,CP13-2002
16292,CPCL01-6934
16293,Ho09-0817
16294,CP92-1283
16295,CP98-1448
16296,CP17-4481
16297,Ho10-9222
16298,CP19-4298
16299,CP96-1002
16300,CP90-0987
16301,CP16-1763
16302,CP16-4025
16303,CP16-2039
1088,L13-0239
1089,Ho18-9250
1090,CP04-1739
1091,CPCL06-3167
1092,CP16-1468
1093,CP07-1950
1094,IND81-0142
1095,CP13-4716
1096,CP99-1906
1097,CP16-4092
1098,L85-0327
1099,CP14-1452
1100,CP94-1926
1101,CP09-1107
1102,CP14-4434
1103,CP94-1036
15792,CP94-1781
15793,CPCL06-3517
15794,LCP87-0473
15795,CP95-1023
15796,CP97-1279
15797,CP13-2471
15798,CP01-2450
15799,CP96-1542
15800,CP11-1219
15801,CP14-1193
15802,CP13-2066
15803,CP09-2409
15804,CP19-4575
15805,CP14-1406
15806,CP09-1478
15807,CP95-1914
24592,CP98-1943
24593,CP09-1681
24594,CP14-1781
24595,CP16-2506
24596,CP07-1707
24597,Ho97-0016
24598,CP14-4239
24599,CP95-2008
24600,Ho15-9368
24601,CP16-2293
24602,CP13-1822
24603,CP94-1357
24604,CP18-1411
24605,CP96-1303
24606,CPCL06-3458
24607,CP03-2117
17904,CP07-1481
17905,CP03-1768
17906,CP92-1680
17907,CP94-1288
17908,CP04-1323
17909,CP18-4372
17910,CP15-1868
17911,CP17-1758
17912,CP19-1915
17913,98P02
17914,CP16-1950
17915,CP88-0744
17916,CP00-1118
17917,CP10-1801
17918,CP15-2449
17919,CP06-2973
11968,CP93-1734
11969,Ho81-0004
11970,L63-0022
11971,US99-1039
11972,CP90-0929
11973,LHo92-0314
11974,CP16-2231
11975,CP19-1394
11976,CP16-4334
11977,CP11-1441
11978,CP10-1867
11979,Ho13-9139
11980,Ho15-9356
11981,CP96-1603
11982,Ho09-9623
11983,CP11-1117
14720,LCP85-0343
14721,CPCL06-3306
14722,Ho13-9125
14723,CP06-2638
14724,CP06-3016
14725,CP97-1936
14726,CP15-1682
14727,CP12-2051
14728,HoCP95-0995 [SGR-3446]
14729,CP71-1194
14730,HoCP14-0865
14731,CP94-1327
14732,CP19-1458
14733,TCP83-3211
14734,LCP85-0359
14735,CP97-1942
2016,CP16-4836
2017,CP06-2478
2018,CP18-4565
2019,CP18-2265
2020,CP10-2255
2021,CP07-2150
2022,L18-0439
2023,CP10-1576
2024,CP19-1488
2025,L19-0491
2026,CP17-1982
2027,CP00-1936
2028,CP16-2049
2029,L96-0040
2030,CP95-1014
2031,CP97-1276
17600,CPCL01-7203
17601,CP95-1628
17602,CP19-4746
17603,CP19-2152
17604,CP98-1569
17605,L09-0101
17606,CP95-1714
17607,CP13-1133
17608,CP14-4264
17609,CP01-2440
17610,L70-0016
17611,CP15-1929
17612,CPCL02-7394
17613,CP98-1411
17614,CP09-1617
17615,CP09-1577
10864,CP97-1458
10865,CP14-1529
10866,CP96-1375
10867,CP11-1079
10868,CP00-1777
10869,CP16-4085
10870,CP83-0659
10871,CP11-1915
10872,CP15-4058
10873,CP95-1498
10874,CP16-1298
10875,HoCP18-0818
10876,CP01-1100
10877,CP94-2134
10878,CP99-1975
10879,CP02-1060
4272,CP09-1830
4273,CP04-1443
4274,CP11-1913
4275,CP18-4157
4276,US95-1125
4277,CPCL02-1119
4278,CP72-0321
4279,CP95-1665
4280,CP18-4209
4281,CPCL02-1036
4282,CP16-2052
4283,CP07-2058
4284,Ho08-9020
4285,CP16-1095
4286,CP16-1512
4287,CP06-2712
8592,CP02-1721
8593,CP14-2422
8594,CP11-1485
8595,CPCL02-0733
8596,CP96-1362
8597,CP17-4445
8598,CP04-1037
8599,CP13-1842
8600,CP09-1085
8601,CP09-2047
8602,L94-0414
8603,CP12-1267
8604,CP92-1269
8605,CP15-1835
8606,Ho90-0020
8607,CP19-1768
18064,CP10-1557
18065,CP14-2444
18066,CP99-1905
18067,CPCL02-6986
18068,CP13-1166
18069,TCP00-4528
18070,CP16-1205
18071,CP90-0965
18072,Ho91-0578
18073,L94-0430
18074,L09-0114
18075,CP18-1135
18076,L99-0221
18077,CP04-2027
18078,CPCL05-1326
18079,CP09-1626
5296,CP19-1632
5297,08P22
5298,CP94-1479
5299,CP01-2066
5300,CP17-1369
5301,CP10-1018
5302,CP67-0614
5303,CP00-1303
5304,CP19-1824
5305,CP14-1814
5306,L01-0288
5307,CP04-1776
5308,CP16-2407
5309,CP13-2277
5310,CP00-2237
5311,CP02-1126
5552,POLY01-8
5553,CP10-1048
5554,L71-0024
5555,CP09-1523
5556,CP99-1782
5557,CP13-1470
5558,CP11-1456
5559,CP98-1115
5560,CP17-2073
5561,CP13-1219
5562,CP12-1159
5563,CP14-1288
5564,CP09-2333
5565,CP92-1793
5566,Ho09-9121
5567,CP18-4625
12608,CP06-2931
12609,CP18-1425
12610,CP94-1732
12611,CP12-2401
12612,CP99-1461
12613,CP03-1059
12614,CP92-1439
12615,L74-0073
12616,CPCL05-1166
12617,Ho94-0031
12618,CP01-2317
12619,CP17-1319
12620,CP15-1684
12621,CP09-1340
12622,CP12-1524
12623,CP75-0330
7648,CP04-1945
7649,Ho16-0677
7650,L79-1002
7651,CP15-4516
7652,CP09-1143
7653,CP11-1989
7654,CP00-1873
7655,CP97-1707
7656,CP16-1100
7657,CP18-4793
7658,CP99-1576
7659,CP01-1455
7660,L84-0234
7661,L13-0260
7662,CP16-1549
7663,CP16-1816
2640,CP14-1229
2641,CP02-1269
2642,CP13-1806
2643,CP01-1998
2644,CP05-1724
2645,Ho17-9150
2646,CP16-4519
2647,CP11-1423
2648,CP15-1539
2649,Ho90-0014
2650,CP98-1952
2651,CP94-1228
2652,CP12-1548
2653,CP93-1748
2654,CP13-2127
2655,CP15-4266
16368,CP99-1138
16369,Ho11-0509
16370,CP92-0623
16371,CP07-2514
16372,HoCP03-0707
16373,CP94-2073
16374,HoCP95-0904
16375,HoCP05-0911
16376,CP06-3017
16377,CP17-1120
16378,CPCL14-4117
16379,CP02-1614
16380,CP07-1365
16381,CP05-1536
16382,Ho05-9007
16383,Ho12-0603
29408,CP99-1172
29409,LCP83-0124
29410,CPCL02-1417
29411,CP94-1132
29412,CP95-1782
29413,CP10-2068
29414,CP02-2068
29415,CP04-2194
29416,CP14-2340
29417,CP04-1216
29418,CP97-1260
29419,CP17-4274
29420,CP11-2140
29421,CP62-0222
29422,Ho16-0662
29423,CPCL02-0624
28576,CP16-2031
28577,CP06-2431
28578,CP16-1904
28579,CP92-1644
28580,Ho13-0739
28581,CP11-1683
28582,CPCL02-2004
28583,CP00-1010
28584,CP09-2086
28585,CP18-4234
28586,LCP85-0347
28587,CP19-2345
28588,CP11-2160
28589,CP19-4024
28590,CP17-4206
28591,CP04-2126
16720,CP01-1511
16721,CP97-2194
16722,CP03-1764
16723,GreenSport
16724,CP01-2513
16725,CPCL06-3422
16726,CP17-2202
16727,CP06-2138
16728,CP03-1056
16729,CP00-2148
16730,CP03-1038
16731,CP12-1567
16732,CP97-1076
16733,L72-0010
16734,CP15-1558
16735,CP03-2372
18576,CP01-2089
18577,CP06-1730
18578,CP07-1352
18579,CP96-1070
18580,CP17-1948
18581,HoCP22-727
18582,CP04-2015
18583,CP14-1901
18584,CP98-1122
18585,CP99-1496
18586,CP12-1143
18587,CP17-2303
18588,CP19-4525
18589,CP09-2026
18590,CP12-2179
18591,CP18-1138
13680,CP92-1588
13681,CP02-2440
13682,L98-0209
13683,CPCL06-3313
13684,CP06-2248
13685,CP06-2709
13686,CPCL06-3246
13687,CPCL06-3507
13688,CP12-2207
13689,CP12-1631
13690,POLY02-2
13691,CP16-1498
13692,CP09-2033
13693,CP18-2190
13694,CP01-1028
13695,CP03-1753
18832,CP90-0922
18833,CP01-2388
18834,CP19-2276
18835,CP99-1783
18836,CP95-1818
18837,CP19-1462
18838,CP97-1790
18839,CP10-2184
18840,CP02-1389
18841,CP97-2190
18842,CP13-1176
18843,CP11-1543
18844,CP04-1494
18845,CP15-4433
18846,Co356
18847,CP92-1409
896,CP59-0043
897,CP01-1355
898,TCP07-4807
899,L09-0099
900,CP96-1478
901,CP19-4451
902,CP07-1616
903,CP17-1990
904,CPCL06-3258
905,CP07-2400
906,CP13-1481
907,CP07-2601
908,CP10-1163
909,CP17-1373
910,CP13-1622
911,CP16-2292
25728,CP02-1312
25729,Ho72-0114
25730,CP15-1961
25731,CP95-1949
25732,CP03-1696
25733,Mix 08-P
25734,CP99-1632
25735,Ho17-9152
25736,CP99-1192
25737,CP19-1199
25738,CP13-1609
25739,CP02-1927
25740,CP10-2462
25741,CP11-1725
25742,CPCL02-7403
25743,CP11-2474
13392,CP17-1541
13393,CP05-1694
13394,CP18-1375
13395,Ho82-0022
13396,CP11-2147
13397,Ho05-9057
13398,CP02-2472
13399,CP96-1631
13400,CP04-1303
13401,CP15-2538
13402,CP95-1266
13403,HoCP01-0532
13404,CP11-1710
13405,L94-0422
13406,CP17-2353
13407,CP15-4414
25296,CP13-2299
25297,CP18-4021
25298,Ho13-9412
25299,CP01-1800
25300,CP91-1287
25301,CP10-2088
25302,CP16-2387
25303,CP05-1506
25304,LCP85-0297
25305,CP97-1394
25306,Ho05-9301
25307,CP14-1792
25308,CP13-4091
25309,CPCL06-3465
25310,CP99-1291
25311,CP17-2415
