labels,vertex
7243,L17-0425
7244,CP00-1802
7245,CP05-1641
7246,CP12-2068
7247,CP19-2423
1552,CP02-1756
1553,CP19-1849
1554,CP01-2390
1555,CP17-1615
1556,CP15-1821
1557,CP02-1327
1558,CP00-1227
1559,CP17-4493
1560,CP19-1497
1561,CP02-1734
1562,CP06-2666
1563,CP98-1400
1564,CP98-1438
1565,CP95-1658
1566,US87-1026
1567,CPCL02-2758
4464,CP01-1249
4465,CP15-2116
4466,CP15-1496
4467,CP12-1678
4468,CP16-1625
4469,HoCP18-0801
4470,CP17-1915
4471,CP92-1402
4472,CP81-1405
4473,CP17-1916
4474,CP16-1670
4475,CP18-1261
4476,CP17-1001
4477,CP00-1906
4478,CP94-1775
4479,CP07-2109
6368,CP02-2152
6369,CP13-1838
6370,CP00-1195
6371,CP03-2315
6372,CP97-1369
6373,Ho15-9353
6374,Ho81-0001
6375,CP95-1675
6376,Ho99-0048
6377,CP15-4387
6378,CP15-2194
6379,CP10-2007
6380,CP13-1575
6381,CP00-1956
6382,CP99-1254
6383,CP03-2346
10112,CP12-1233
10113,CP14-2377
10114,Ho10-0939
10115,Ho16-0682
10116,03P04
10117,CP15-4708
10118,CP16-4474
10119,CP92-1324
10120,US95-1115
10121,CP93-1137
10122,CP03-1908
10123,HoCP04-0850
10124,CP97-1172
10125,CP06-2348
10126,CP16-2027
10127,CP04-1066
5248,US92-0011
5249,CP02-1726
5250,CP94-1900
5251,CP01-1033
5252,CP93-1472
5253,CP18-1878
5254,CP15-4654
5255,CP14-4515
5256,CP92-1799
5257,CP03-2051
5258,CP99-1751
5259,CP09-1674
5260,CP10-1984
5261,CP07-2216
5262,CP00-2210
5263,CP99-1694
5680,CP10-1403
5681,L96-0035
5682,L78-0035
5683,CP92-1655
5684,CP14-1151
5685,CP02-2206
5686,CP02-1686
5687,CP95-1085
5688,CP04-1732
5689,CP06-2020
5690,CP98-1175
5691,CP03-2036
5692,Ho06-9019
5693,CP01-1723
5694,CP97-2173
5695,CP15-4554
288,CP91-1507
289,CP17-4053
290,CP10-1076
291,CP13-1358
292,CP00-1416
293,L98-0192
294,CP99-2036
295,CP93-1315
296,CP02-1551
297,HoCP95-0968
298,CP02-2589
299,CP16-2319
300,CP04-1446
301,CP19-4022
302,CP01-2491
303,HoCP99-0864
5984,CP03-2074
5985,CP09-2036
5986,Ho01-0031
5987,CP10-1618
5988,CP13-1354
5989,CP95-1447
5990,CL02-8137
5991,CP11-1705
5992,CP99-1879
5993,CP10-1454
5994,Erianthus Arund
5995,CP15-2413
5996,CP98-1916
5997,CP13-2005
5998,HoCP96-0526
5999,CP11-2454
8224,CP11-2146
8225,CP94-1516
8226,CP16-1866
8227,CP16-1578
8228,CP12-1673
8229,CP92-1244
8230,CP16-2034
8231,CP16-2464
8232,CP95-1233
8233,CP04-1474
8234,CP19-4708
8235,TucCP77-0042
8236,CP95-1663
8237,CP18-2384
8238,CP04-1521
8239,Mix 08-1D
9136,L95-0482
9137,CP16-4764
9138,CP94-1958
9139,CP95-1135
9140,CP06-2135
9141,CP10-1589
9142,CP92-1606
9143,CP94-1682
9144,L15-0346
9145,CP19-4376
9146,MZC74-0275
9147,CP09-1853
9148,CP10-1462
9149,CP13-1469
9150,CP92-1001
9151,CP16-1181
4928,CP74-0384
4929,CP95-1366
4930,CP10-1214
4931,CP12-2405
4932,CP13-2163
4933,CP02-1896
4934,CP18-2405
4935,CP03-2011
4936,CP16-4429
4937,CPCL02-0988
4938,CL92-1367
4939,CP02-2405
4940,CP17-2088
4941,CP14-2159
4942,CP10-1496
4943,CP97-2149
5168,HoCP92-0644
5169,CP14-1857
5170,CP01-2433
5171,CP95-1971
5172,HoCP99-0825
5173,CP03-1528
5174,CP15-1928
5175,CP14-1358
5176,CP16-1136
5177,CPCL06-3330
5178,CP17-2435
5179,HoCP13-0735
5180,CP16-2329
5181,CP99-1635
5182,CP99-1755
5183,CP17-1816
7936,HoCP18-0812
7937,CP16-1084
7938,CP17-1078
7939,LCP86-0446
7940,CP18-1024
7941,CP10-2310
7942,CP11-2065
7943,CP14-4528
7944,CPCL06-3354
7945,CP97-2080
7946,CP12-1030
7947,CP02-2183
7948,CP17-2189
7949,CP13-1102
7950,CP00-1565
7951,POLY01-3
6400,CP00-1286
6401,CP17-1426
6402,CP06-3064
6403,CP19-1653
6404,CP07-2392
6405,CPCL02-0481
6406,CP12-1520
6407,L68-0080
6408,CP16-2352
6409,TCP95-4365
6410,CP01-1066
6411,CP16-1276
6412,CP09-1879
6413,CP19-1361
6414,HoCP20-0574
6415,CP18-1989
1600,CP91-2156
1601,Ho08-9007
1602,CP10-1113
1603,CP18-4318
1604,Ho14-9269
1605,CP17-2308
1606,L94-0439
1607,CP93-1585
1608,CP16-1434
1609,CP15-4519
1610,CP90-1331
1611,CP15-4260
1612,CP92-1700
1613,CP99-1054
1614,CP97-1319
1615,L20-0061
6960,CP92-1010
6961,TCP02-4620
6962,HoCP16-0665
6963,CP95-1230
6964,CP84-7420
6965,CP01-1021
6966,CP14-1173
6967,CP91-1873
6968,HoCP18-0824
6969,CP91-1379
6970,Ho16-0625
6971,CP13-2258
6972,CP98-1080
6973,CP78-1628
6974,CP13-1021
