,partition,vertex
286,38,CP92-1291
287,18,CP17-1696
288,21,CP02-1187
289,1,CP97-1057
290,6,CP11-1706
291,2,CP03-2170
292,18,CP19-1266
293,18,CP16-2507
294,18,CP17-1703
295,18,CP17-4740
296,0,HoCP00-0911
297,5,CP95-1821
298,12,CP09-1620
299,34,CP94-1397
300,27,CP96-1534
301,6,CP10-2081
302,2,CP02-1008
303,3,Ho97-0004
304,21,CP96-1954
305,2,CP00-1304
306,6,CP10-1422
307,0,CP09-2171
308,0,L20-0052
309,18,CP15-2160
310,4,CP04-1381
311,27,CP98-1658
312,18,CP15-1869
313,0,CP11-2422
314,18,CP17-2461
315,5,CP95-1229
316,9,CP13-2430
317,23,CP13-1846
318,18,CP19-1620
319,23,CP13-2372
320,18,CP16-4422
321,0,HoCP14-0906
322,14,CP92-1132
323,2,CP02-2001
324,2,CP01-2079
325,0,CP01-2310
326,17,CP95-1892
327,0,L05-0474
328,21,CP01-1229
329,5,CP98-1818
330,45,CP06-2189
331,7,CP16-1538
332,3,Ho02-0092
333,10,CP14-4223
334,2,CP00-1855
335,6,CP09-1515
336,21,CP02-1107
337,0,CP02-1046
338,18,CP17-4654
339,16,CP11-1684
340,0,Ho03-0037
341,0,CP02-1016
342,8,CP17-2291
343,0,HoL05-0954
344,16,CP14-1424
345,12,CP12-1051
346,27,CP96-1127
347,0,HoL09-0843
348,0,Ho13-9117
349,17,CP92-1710
350,17,CP92-1483
351,9,CP08-2407
352,6,CP10-2259
353,9,CP13-1255
354,6,CP09-1535
355,15,CP93-1214
356,1,CP00-1051
357,9,CPCL02-7609
358,10,CP16-4401
359,15,CP14-2048
360,18,CP19-4698
361,22,CP99-1106
362,26,CP98-1131
363,2,CP12-1854
364,5,CP94-1443
365,0,CP04-2170
366,35,CP95-1240
367,8,CP19-2382
368,2,CP02-2230
369,6,CP10-1269
370,13,CPCL14-4129
371,15,CP93-1101
372,7,CP18-1483
373,2,CP02-1296
374,5,CP94-2071
375,28,CP13-1630
376,12,CP09-1700
377,0,HoCP03-0746
378,17,CP98-1834
379,3,Ho90-0010
380,0,L02-0326
