,partition,vertex
9970,0,Ho03-0056
9971,0,HoCP99-0830
9972,17,CP99-1629
9973,0,HoCP12-0672
9974,9,CP01-1710
9975,12,CP07-1969
9976,6,CP11-1240
9977,9,CPCL06-3359
9978,6,CP09-1959
9979,21,CP03-1723
9980,7,CP16-1585
9981,5,CP01-1466
9982,3,L96-0053
9983,8,CP12-2110
9984,26,CP98-2009
9985,23,CP12-2326
9986,15,CP92-1103
9987,1,CP92-1657
9988,19,CP10-1849
9989,3,HoCP95-0912
9990,2,CP02-2076
9991,6,CP11-2017
9992,6,CP07-2476
9993,35,CP94-2074
9994,18,CP19-1930
9995,7,CP14-2516
9996,16,CP14-2455
9997,3,L67-0064
9998,5,CP94-1178
9999,0,HoCP18-0810
10000,0,HoCP00-0928
10001,0,Ho01-0020
10002,5,CP02-2257
10003,8,CP18-4264
10004,25,CP13-1010
10005,6,CP14-1179
10006,6,CP09-1421
10007,6,CP19-2160
10008,0,HoCP22-708
10009,27,CP01-1734
10010,7,CP15-4255
10011,15,CP92-1081
10012,18,CP19-2468
10013,6,CP07-1089
10014,5,CP95-1130
10015,20,CP19-4521
10016,16,CP13-2211
10017,5,CP95-1321
10018,11,CP91-1310
10019,1,CP99-1622
10020,17,CP94-1847
10021,2,CP14-1919
10022,6,CP11-2007
10023,19,CP12-1444
10024,18,US15-1242
10025,7,CP14-2494
10026,18,CP17-4786
10027,26,Ho03-0122
10028,6,CP11-1537
10029,19,CP12-1273
10030,18,CP15-2473
10031,18,CP19-4670
10032,5,CP88-0783
10033,10,POLY17-7
10034,26,Ba11569
10035,2,CP94-1198
10036,0,Ho02-0095
10037,0,Ho12-9039
10038,39,HoCP14-0801
10039,0,MPTH97-0204
10040,6,CL95-0776
10041,2,HoCP94-0836
10042,34,CP89-2340
10043,0,HoCP00-0934
10044,8,CPCL06-3432
10045,3,CP63-0561
10046,9,CL99-1777
10047,4,CP99-3027
10048,5,CP94-1587
10049,9,CP13-1613
10050,29,HoCP20-0532
10051,8,CP18-1934
10052,1,CP94-2098
10053,1,CP97-1476
10054,38,CP92-1297
10055,17,CP98-1835
10056,7,CP15-4377
10057,8,CP13-2086
10058,5,CP94-1635
10059,7,CP17-4487
10060,18,CP14-4185
10061,18,CP19-2022
10062,0,Ho15-0948
10063,18,CP15-2151
10064,2,CP03-1540
10065,2,CP04-1788
10066,2,CP03-1652
10067,3,CP91-0541
10068,0,HoCP02-0621
10069,6,CP10-1267
10070,1,CP98-1060
10071,6,CP09-2319
10072,1,CP01-1870
10073,8,CP17-1620
10074,6,CP11-1708
10075,5,CP98-1480
10076,3,L91-0275
10077,8,CP17-2436
10078,0,HoCP15-0561
10079,35,CP95-1504
10080,18,CP19-1923
10081,14,CP90-1691
10082,0,CP12-2283
10083,17,CP92-1789
10084,9,CP12-1781
10085,2,CPCL06-3218
10086,2,CP99-1701
10087,3,Ho96-0013
10088,25,CP11-1397
10089,20,CP10-1892
10090,2,CP02-1246
10091,13,CP11-2440
10092,25,CP16-1617
10093,21,CP03-1111
10094,21,CP04-2048
10095,28,CP13-2240
10096,2,CP01-1547
10097,28,CP15-4068
10098,12,CP09-1739
10099,2,CP02-1521
10100,0,CP96-1802
10101,3,CP98-1764
10102,6,CP09-2354
10103,8,CP14-1944
10104,0,CP16-2385
10105,18,CP18-1434
10106,0,HoCP09-0859
10107,5,CP95-1741
10108,13,CPCL13-4017
10109,1,CP98-1161
10110,13,CP12-1393
10111,0,L04-0400
10112,2,CP93-1445
10113,1,CP97-1017
10114,0,Ho05-9037
10115,0,CP01-2312
10116,3,CP60-0006
10117,18,CP14-2180
10118,1,CP98-1432
10119,3,L72-0085
10120,10,CP95-2212
10121,12,CP14-1230
10122,3,CP67-0345
10123,3,L78-0006
10124,0,CP00-1848
10125,0,CP96-1874
10126,7,CP15-1402
10127,13,CPCL14-4054
10128,2,CP02-2302
10129,9,CP12-1776
10130,13,CPCL14-4067
10131,2,CP04-2053
10132,1,CP99-1163
10133,16,CP14-1407
10134,18,CP16-2042
10135,1,CP03-1820
10136,27,CP97-1931
10137,7,CP17-1459
10138,11,CP01-2361
10139,11,CP01-1859
10140,5,CP00-1664
10141,0,CP93-1553
10142,0,HoCP20-0550
10143,4,CP06-2062
10144,0,L20-0058
10145,1,CP92-1856
10146,0,L19-0492
10147,6,CP13-1129
10148,15,CP94-1243
10149,0,CP07-1524
10150,13,CP13-1524
10151,11,CP03-1051
10152,22,CP99-1114
10153,19,CP16-4729
10154,18,CP18-4208
10155,18,CP16-1792
10156,5,CP91-2213
10157,7,CP17-4517
10158,20,CP12-1997
10159,7,CP17-4408
10160,16,CP08-2398
10161,3,CP56-0063
10162,0,HoCP02-0639
10163,3,CP71-0316
10164,5,US88-1020
10165,20,CPCL99-1777
10166,0,L06-0040
10167,0,HoCP12-0650
10168,6,CL92-1249
10169,30,97P04
10170,0,HoCP11-0550
10171,3,CP71-0318
10172,24,POLY01-10
10173,3,Ho74-0005
10174,0,Guangxi87-0022
10175,16,CPCL01-8021
10176,5,CP94-1734
10177,5,CP02-1566
10178,0,L99-0224
10179,2,CP01-1823
10180,0,Ho08-9053
10181,11,CP91-1319
10182,7,CP15-4741
10183,27,CP97-1704
10184,1,CP00-1562
10185,8,CP13-1807
10186,8,CP19-2414
10187,1,CP97-2112
10188,0,HoCP19-0909
10189,13,CPCL14-4018
10190,17,CP95-1884
10191,23,CP13-1840
10192,3,LCP84-0282
10193,5,CP94-1314
10194,3,L80-0038
10195,18,CP15-2196
10196,5,CP94-1514
10197,6,CP11-2394
10198,5,CP93-1423
10199,2,CP00-1560
10200,20,CP10-1885
10201,14,CP99-1658
10202,2,CPCL06-3515
10203,6,CP07-1069
10204,3,L82-0042
10205,27,CP97-1731
10206,1,CP02-2160
10207,2,CP15-2410
10208,20,CP10-1709
10209,1,CP02-2265
10210,18,CP17-4680
10211,7,CP14-1250
10212,3,LCP83-0169
10213,5,CP93-1432
10214,27,CP99-1545
10215,2,CP99-1703
10216,5,CP96-1379
10217,3,L91-0254
10218,16,CP14-1971
10219,0,CPCL01-7265
10220,1,CP02-2099
10221,5,CP01-1101
10222,10,CP19-2484
10223,22,CP99-2043
10224,1,male mix 09G
10225,2,CL92-5431
10226,18,12P05
10227,5,CP89-2178
10228,3,CP81-0332
10229,0,HoCP89-0831
10230,3,CP51-0024
10231,2,14P05
10232,16,CL89-4290
10233,3,CP59-0022
10234,3,L60-0025
10235,25,CP05-1679
10236,7,CL90-4500
10237,6,TCP01-4535
10238,4,US99-0002
10239,7,CP10-1620
10240,5,CP02-1920
10241,19,CP12-1456
10242,8,CP14-1583
10243,25,CP14-2466
10244,3,CP87-0639
10245,2,CP02-2416
10246,33,CP07-1001
10247,13,CPCL14-4070
10248,1,CP00-1349
10249,14,CP02-1827
10250,19,CP15-2465
10251,3,CP80-0332
10252,6,CP09-1895
10253,34,CP94-1396
10254,7,CP17-1087
10255,0,Ho12-0610
10256,7,CP15-4747
10257,17,CP03-1544
10258,22,CP98-1759
10259,8,CP18-4255
10260,6,CP10-2100
10261,2,CP07-2654
10262,10,CP16-1612
10263,3,CP91-0562
10264,19,CP12-2461
10265,18,CP18-4480
10266,4,CP06-2727
10267,6,CP07-2398
10268,5,CP95-1159
10269,6,CP11-1090
10270,2,CP01-1883
10271,6,CP12-1218
10272,3,L80-0004
10273,18,CP16-2210
10274,2,CP17-1541
10275,41,CP05-1694
10276,8,CP18-1375
10277,3,Ho82-0022
10278,16,CP11-2147
10279,0,Ho05-9057
10280,2,CP04-1303
10281,7,CP15-2538
10282,5,CP95-1266
10283,0,HoCP01-0532
10284,6,CP11-1710
10285,0,L94-0422
10286,10,CP17-2353
10287,0,CP96-1631
10288,22,CP96-1678
10289,18,CP15-4792
10290,7,CP19-1997
10291,2,CP02-1254
10292,19,CP19-1312
10293,16,CP14-1935
10294,0,L07-0045
10295,17,CP96-1499
10296,2,CP03-2213
10297,5,CP01-2466
10298,18,CP16-4414
10299,1,CP99-1823
10300,5,CP94-1455
10301,0,L19-0498
10302,10,CP92-1331
10303,22,CP03-1783
10304,0,Larose
10305,18,CP07-2134
10306,28,CP07-1618
10307,13,MIX01-1
10308,19,CR04-0001
10309,0,HoCP95-0951
10310,22,CP98-1417
10311,0,HoCP93-0750
10312,17,CP81-1135
10313,16,CG98-0046
10314,15,CP86-1665
10315,27,CP88-1834
10316,16,POLY12-31
10317,13,CP97-1979
10318,8,CP06-2274
10319,5,POLY09-14
10320,3,CP75-0324
10321,3,CP53-0001
10322,0,Ho10-9250
10323,0,Ho92-0008
10324,3,CP29-0320
10325,1,CP92-1640
10326,3,US66-56-9
10327,39,Ho14-9230
10328,3,Ho90-0018
10329,1,95P08
10330,0,HoCP01-0531
10331,0,Ho09-0840
10332,0,POLY10-13
10333,0,Ho13-9108
10334,26,Co421
10335,2,TCP04-4709
10336,25,CP12-2245
10337,6,CP13-1046
10338,0,Ho11-9349
10339,25,CP12-2247
10340,4,CP11-1991
10341,8,CP15-4313
10342,5,CP02-2437
10343,2,CP96-1975
10344,8,CP18-1687
10345,27,CP97-1957
10346,7,CP13-1916
10347,0,Ho16-9035
10348,3,Ho04-9603
10349,5,CP94-2013
10350,12,CP09-1652
10351,8,CP19-2038
10352,25,CP13-1417
10353,7,CP12-1422
10354,17,CP98-1841
10355,0,Ho04-9117
10356,0,L20-0032
10357,1,CP04-1049
10358,23,CP11-1472
10359,8,CP17-1270
10360,5,CP12-1635
10361,2,CPCL02-2656
10362,20,CP12-1977
10363,18,CP17-4661
10364,1,CP00-2121
10365,6,CP10-2243
10366,0,L20-0057
10367,16,CP14-4464
10368,7,CP94-1091
10369,27,CP96-1307
10370,7,CP17-1528
10371,8,CP17-4039
10372,0,CP11-2071
10373,18,CP17-2245
10374,7,CP15-4485
10375,0,L10-0158
10376,0,Ho12-0621
10377,33,L99-0241
10378,7,CP17-1253
10379,18,CP17-4845
10380,15,CP95-1912
10381,10,CP18-2250
10382,0,Ho15-9327
10383,9,CP13-1740
10384,11,CP11-1623
10385,1,CP98-3020
10386,0,CP03-1682
10387,21,CP06-2948
10388,9,CP07-1841
10389,6,CPCL02-2819
10390,0,Ho15-9355
10391,27,CP97-1440
10392,8,CP04-1083
10393,2,CP03-1019
10394,6,CP10-1557
10395,1,CP99-1905
10396,13,CPCL02-6986
10397,6,CP13-1166
10398,2,TCP00-4528
10399,16,CP14-2444
10400,12,CP09-1267
10401,5,CP93-1623
10402,5,CP96-1046
10403,8,CP19-4193
10404,8,CP16-4158
10405,2,CP96-1267
10406,25,CP13-1004
10407,19,CP19-2347
10408,20,CP10-1328
10409,8,CP19-1563
10410,2,CP94-1991
10411,11,CP06-3050
10412,12,CP09-2041
10413,6,CP12-2043
10414,10,CP16-1837
10415,18,CP19-4281
10416,0,Ho01-0039
10417,2,CL02-8071
10418,3,LCP88-0091
10419,3,LCP81-0012
10420,0,Ho12-9004
10421,3,Ho76-0061
10422,0,L14-0282
10423,0,HoCP99-0870
10424,25,US02-1339
10425,0,Ho94-0865
10426,0,HoCP11-0504
10427,3,L79-0018
10428,12,03P21
10429,0,Ho07-9026
10430,2,CP03-1098
10431,0,02P10
10432,11,CP03-2303
10433,12,CP08-1899
10434,22,CP99-1088
10435,3,CP86-0952
10436,17,CP93-1270
10437,7,CP10-2454
10438,16,CP14-1623
10439,2,CP02-2492
10440,26,CP98-1158
10441,6,CP11-2099
10442,17,CP90-1367
10443,16,CP14-4420
10444,3,Ho93-0009
10445,9,CP13-1962
10446,2,CP03-1523
10447,6,CP11-1919
10448,7,CP16-1532
10449,3,L89-0117
10450,8,CP16-1941
10451,16,CP11-1545
10452,1,CP97-1281
10453,1,CP98-1911
10454,21,CP14-2366
10455,21,CP04-1783
10456,1,CP00-1533
10457,5,CP11-2170
10458,6,CP14-1154
10459,1,CP91-1513
10460,17,CP95-1564
10461,26,CP98-1944
10462,11,CP04-2041
10463,3,HoCP92-0645
10464,0,L93-0375
10465,7,CP16-1141
10466,19,CP11-2299
10467,18,CP18-1318
10468,6,CP09-2016
10469,18,CP16-2059
10470,28,CP14-1496
10471,3,HoCP93-0760
10472,15,CP92-1114
10473,9,CPCL06-3314
10474,9,CP11-2516
10475,12,CP09-2049
10476,28,CP12-2444
10477,2,CP03-1768
10478,2,CP07-1481
10479,19,CP17-1995
10480,25,CP12-1690
10481,18,CP17-2096
10482,6,CP14-1368
10483,25,CP12-1649
10484,5,CP99-1608
10485,11,CP15-1397
10486,27,CP97-2002
10487,0,HoCP98-0708
10488,9,CPCL06-3339
10489,6,CP11-1155
10490,0,L95-0493
10491,0,L97-0132
10492,6,CP10-1383
10493,11,CP04-1514
10494,14,CP01-2123
10495,5,CP12-1629
10496,2,CP01-1402
10497,16,CP15-1116
10498,2,CP14-1114
10499,20,CP17-2220
10500,9,CP09-2282
10501,2,CP00-1377
10502,0,CP17-2200
10503,7,CP16-1858
10504,0,L12-0194
10505,3,L89-0158
10506,6,CP12-1350
10507,7,CP15-4279
10508,10,CP09-1176
10509,2,CP16-2020
10510,5,CP02-1482
10511,2,CP01-2038
10512,6,CP04-1544
10513,8,CP13-1778
10514,1,CP03-1818
10515,7,CP16-1057
10516,14,CP94-1532
10517,0,HoCP13-0751
10518,29,CP19-2332
10519,2,CPCL06-3228
10520,0,L12-0224
10521,22,CP99-1284
10522,14,CP00-1588
10523,17,CP94-1535
10524,29,HoCP20-0520
10525,11,CP15-2424
10526,24,CPCL02-6343
10527,18,CP19-4293
10528,6,CP10-2264
10529,9,CP09-2165
10530,3,CP88-0773
10531,13,CP11-1995
10532,3,CP92-1259
10533,16,CP14-1620
10534,16,CP19-4152
10535,9,CP13-2293
10536,8,CP19-2113
10537,0,CP07-1852
10538,17,CP02-1425
10539,7,CP94-1086
10540,28,CP13-1627
10541,12,CP10-1022
10542,6,CP12-1934
10543,3,L84-0252
10544,15,CP92-1091
10545,8,CP16-1387
10546,19,CPCL02-0721
10547,6,CP12-1332
10548,27,CP97-1445
10549,11,CP90-1534
10550,3,CP90-0940
10551,18,CP18-2163
10552,3,L67-0074
10553,2,CP96-1348
10554,19,CP09-2350
10555,6,CP09-1538
10556,17,CP02-1455
10557,18,CP15-1695
10558,4,CL97-4983
10559,7,CP14-1309
10560,18,CP15-1803
10561,8,CP19-1583
10562,18,CP14-1394
10563,2,CP01-1557
10564,23,CP13-2131
10565,6,CP09-2326
10566,1,CP03-1561
10567,3,CP03-2319
10568,0,L04-0428
10569,8,CP18-2360
10570,1,CP02-1640
10571,8,CP17-1602
10572,6,CP07-1066
10573,2,CP02-1309
10574,1,CP00-1739
10575,7,CP15-1157
10576,5,CP01-1519
10577,26,CP98-2034
10578,0,HoCP03-0712
10579,0,CP12-2423
10580,6,CP07-2208
10581,2,CP04-1431
10582,0,L04-0422
10583,5,CP95-1729
10584,27,CP97-2023
10585,2,CP02-1307
10586,27,CP99-1873
10587,27,CP97-1462
10588,17,CP99-1023
10589,18,CP17-4282
10590,17,CP91-1023
10591,3,CP82-0506
10592,12,CP09-1089
10593,18,CP14-1072
10594,19,CP09-1253
10595,9,CP16-2264
10596,2,CP06-2454
10597,4,CP11-1307
10598,2,CP99-1960
10599,5,CP95-1235
10600,4,CP11-1310
10601,8,CP14-1715
10602,18,CP17-1776
10603,15,CP92-1065
10604,2,CPCL06-3178
10605,25,CP17-1654
10606,10,CP17-2040
10607,7,CP19-1370
10608,15,CP93-1505
10609,21,CP06-2938
10610,5,CP01-1980
10611,5,CP96-1009
10612,3,L89-0143
10613,6,CP07-2143
10614,7,CP16-1368
10615,12,CPCL05-1338
10616,11,CP14-1756
10617,5,CP95-1921
10618,17,CP90-1336
10619,35,CP94-1039
10620,17,CP96-1565
10621,12,CP10-2245
10622,2,CP01-1423
10623,7,CP17-2128
10624,8,CP15-2229
10625,28,CP16-1230
10626,23,CP09-1846
10627,3,L92-0315
10628,0,Ho15-9321
10629,7,CP13-1684
10630,0,HoCP20-0500
10631,7,CP19-1030
10632,5,CP18-1358
10633,6,CP14-1178
10634,2,CP01-2449
10635,23,CP13-1868
10636,20,CP10-1431
10637,6,CP13-1430
10638,2,CP02-1320
10639,19,CP15-4848
10640,12,CL94-4871
10641,0,HoCP94-0806
10642,0,Ho00-0020
10643,8,04P8
10644,0,Ho12-9045
10645,0,HoCP11-0536
10646,0,Ho10-9245
10647,0,Ho11-9339
10648,3,Ho76-0092
10649,16,Mix 08-V
10650,39,Ho08-9046
10651,0,CP09-1262
10652,8,CL89-2944
10653,6,POLY11-18
10654,0,HoCP92-0676
10655,18,CP08-1382
10656,0,Ho02-0856
10657,36,P4383
10658,0,Ho06-9025
10659,0,HB02-3249
10660,3,CP69-0388
10661,0,Ho11-9305
10662,2,CP91-2418
10663,2,US90-1081
10664,2,US84-1019
10665,3,HoCP07-0615
10666,3,Ho79-0003
10667,3,CL54-0140
10668,0,HoCP02-0628
10669,0,Ho12-9032
10670,3,CP83-0628
10671,26,P3247
10672,5,CP95-1631
10673,16,CP13-1881
10674,17,CP98-2098
10675,9,CP15-1484
10676,2,CP04-1757
10677,21,CP03-1268
10678,0,HoCP02-0636
10679,4,CP04-1208
10680,5,CP95-1176
10681,21,CP01-2671
10682,6,CP09-1947
10683,15,CP92-1209
10684,5,CP95-1227
10685,1,CP00-1070
10686,7,CP17-1415
10687,7,CP17-1177
10688,2,CP02-1736
10689,18,CP18-2289
10690,7,CP11-2331
10691,3,LCP82-0077
10692,7,CP14-4327
10693,5,CP93-1576
10694,20,CP10-2137
10695,21,CP96-1877
10696,33,CP97-2188
10697,8,CP18-1023
10698,5,CP17-1609
10699,1,CP98-1061
10700,2,CP03-1263
10701,16,CP15-1608
10702,2,CP03-1343
10703,2,CP14-2261
10704,1,Co6806
10705,0,Ho05-9020
10706,9,CP07-2552
10707,7,Ho10-0931
10708,3,US1694
10709,0,Ho11-9324
10710,16,CP06-2317
10711,0,Ho06-0543
10712,3,Ho87-0021
10713,17,NG77-75
10714,27,CP91-1789
10715,0,CP85-0857
10716,12,CPCL06-8024
10717,2,US96-0001
10718,11,Mix 08-Z
10719,3,CP71-0382
10720,2,CP01-1408
10721,22,CP03-1744
10722,6,CPCL02-6266
10723,27,CP99-1716
10724,35,HoCP95-0966
10725,0,HoCP95-0932
10726,6,CP09-1245
10727,9,CPCL06-3408
10728,5,CP93-1303
10729,19,CP14-1017
10730,12,CP15-1183
10731,8,CP16-1446
10732,17,CP01-1604
10733,1,CP92-1597
10734,26,CP98-1743
10735,8,CP18-4109
10736,0,CL02-8017
10737,0,HoCP06-0502
10738,3,L78-0035
10739,0,US01-1184
10740,24,CL95-2108
10741,2,CP93-1547
10742,6,HoCP03-0718
10743,3,CP84-0772
10744,0,L04-0410
10745,8,Ho11-9629
10746,24,CL90-0293
10747,53,92P19
10748,0,Ho09-9132
10749,0,US04-9601
10750,0,Ho06-0520
10751,1,CP88-0758
10752,2,CP02-1468
10753,15,CP00-1944
10754,0,Ho12-0635
10755,18,CP16-4664
10756,22,CP99-1115
10757,4,CP06-2748
10758,17,CP96-1655
10759,10,CP92-1444
10760,3,HoCP02-0605
10761,21,CP06-2905
10762,17,CP92-1595
10763,16,CP14-4440
10764,2,CP01-2294
10765,7,CP16-1148
10766,7,CP19-4218
10767,2,CP97-1401
10768,7,CP17-1112
10769,3,LCP86-0419
10770,18,CP16-1741
10771,1,CP98-1304
10772,6,CP10-1642
10773,19,CP11-1105
10774,19,CP16-2395
10775,3,CP84-0703
10776,8,CP18-4391
10777,17,CP93-1247
10778,6,CP18-4811
10779,11,CP04-1952
10780,17,CP90-1343
10781,19,CP07-2605
10782,1,CP00-1888
10783,2,CP03-1073
10784,9,CP07-1785
10785,2,CP02-1230
10786,3,L62-0016
10787,28,CP15-1342
10788,2,CP07-1314
10789,2,CP97-1392
10790,1,CP92-1670
10791,6,CP11-1144
10792,0,HoCP14-0886
10793,17,CP92-1464
10794,3,CP79-0319
10795,1,CP96-1498
10796,18,CP17-2049
10797,12,CP15-1335
10798,7,CP17-4541
10799,7,CP15-2072
10800,18,CP16-1907
10801,4,CP08-1813
10802,23,CP09-1777
10803,18,CP19-2186
10804,20,CP10-2300
10805,8,CP15-2367
10806,1,CP01-2594
10807,18,CP19-2274
10808,6,CP07-1138
10809,3,L00-0250
10810,1,CP97-1467
10811,4,CP19-2440
10812,1,CP00-1726
10813,8,CP18-2221
10814,18,CP17-2465
10815,17,CP92-1502
10816,10,CP18-1784
10817,6,CP09-1941
10818,1,CP96-1297
10819,3,CP90-0925
10820,2,CP96-1425
10821,9,CP13-2413
10822,17,CP97-1772
10823,22,CP99-1050
10824,9,CP14-2441
10825,2,CP04-1522
10826,5,CP93-1706
10827,51,CP90-1669
10828,3,CP94-1164
10829,2,CP03-1503
10830,18,CP16-1712
10831,6,CP12-1234
10832,27,CP96-1969
10833,2,CP01-1163
10834,2,CP00-1807
10835,6,CP13-2334
10836,17,CP00-1633
10837,10,CP16-4314
10838,1,CP98-1562
10839,18,CP15-2282
10840,10,CP18-2256
10841,3,CP92-1555
10842,0,L00-0275
10843,2,CP04-1102
10844,2,CP02-2409
10845,15,CP93-1381
10846,6,CP12-1225
10847,9,CP07-1598
10848,6,CP10-2183
10849,2,CP02-1887
10850,0,Ho15-9301
10851,3,Ho93-0008
10852,27,CP96-1147
10853,10,CP92-1352
10854,0,Ho16-0619
10855,11,CP01-1179
10856,7,CP18-4645
10857,3,L95-0467
10858,18,CP18-2119
10859,0,L96-0046
10860,3,CP94-1758
10861,27,CP98-1632
10862,0,Ho17-9106
10863,0,HoCP18-0814
10864,24,CPCL05-1304
10865,1,CP00-1935
10866,0,Ho12-0618
10867,1,CP98-1305
10868,0,Ho15-9316
10869,7,CP16-1629
10870,7,CP13-1978
10871,2,CP01-1282
10872,2,CP01-1996
10873,11,CP95-1521
10874,51,CP95-1878
10875,6,CP11-2283
10876,22,CP97-1887
10877,1,CP98-1356
10878,33,CP97-2183
10879,7,CP16-1149
10880,0,Ho15-9354
10881,1,CP97-1333
10882,2,CP00-1078
10883,18,CP16-4675
10884,15,CP95-1933
10885,7,CP18-4696
10886,8,CP16-1582
10887,2,CP02-1341
10888,0,HoCP04-0802
10889,17,CP92-1785
10890,0,Ho03-0054
10891,0,Ho11-9348
10892,7,CP18-1220
10893,6,CP07-2140
10894,11,CP06-2088
10895,5,CP94-2065
10896,0,L11-0189
10897,17,CP91-1267
10898,6,CP10-1342
10899,1,97P08
10900,5,CP94-1733
10901,26,BJ7504
10902,3,L97-0114
10903,2,CP14-1912
10904,8,CP17-1278
10905,1,CP97-1355
10906,3,LCP85-0345
10907,0,HoCP11-0535
10908,10,CP19-1191
10909,7,CP16-1083
10910,19,CP07-1431
10911,3,HoCP96-0525
10912,26,CP98-1980
10913,7,CP16-1572
10914,3,LCP85-0374
10915,2,CP12-1893
10916,8,CP19-1113
10917,7,CP19-4818
10918,18,CP17-1699
10919,21,CP01-1919
10920,27,CP97-1867
10921,6,CP11-1677
10922,9,CPCL14-4017
10923,5,CP96-1488
10924,15,CP94-1240
10925,1,CP02-1170
10926,18,CP16-1779
10927,18,CP17-4289
10928,1,CP01-1872
10929,22,CP03-1397
10930,5,CP94-1302
10931,5,CP01-2462
10932,33,CP97-2147
10933,10,CP16-1917
10934,1,CP97-2109
10935,2,CP01-1882
10936,2,CP03-2406
10937,5,CP93-1082
10938,19,CPCL02-0487
10939,1,CP00-1815
10940,9,CP13-1719
10941,17,CP92-1803
10942,5,CP95-1197
10943,0,HoCP04-0808
10944,16,CP14-1027
10945,5,CP95-2044
10946,0,Ho14-0820
10947,5,CP95-1968
10948,7,CPCL02-0972
10949,10,CP18-2249
10950,2,CP11-1449
10951,1,CP99-1895
10952,16,CP15-1536
10953,0,L01-0309
10954,4,CP06-2368
10955,7,CP17-1238
10956,18,CP16-2158
10957,21,L16-0362
10958,9,CP13-1895
10959,13,CP13-1535
10960,7,CG00-0033
10961,0,L94-0426
10962,35,LCP87-0472
10963,5,CP87-1490
10964,0,L05-0448
10965,11,87P10
10966,0,CP83-0606
10967,4,2P05
10968,8,POLY12-24
10969,6,Mix 08-1V
10970,17,Mex69-0290
10971,0,Ho11-0532
10972,3,TCP83-3211
10973,2,01P03
10974,8,CP09-1952
10975,0,L07-0057
10976,13,CP13-1470
10977,2,CP11-1456
10978,17,CP98-1115
10979,18,CP17-2073
10980,13,CP13-1219
10981,19,CP12-1159
10982,7,CP14-1288
10983,17,CP92-1793
10984,7,CP18-4625
10985,2,CP14-1900
10986,1,CP90-1349
10987,1,CP04-1054
10988,14,CP01-1749
10989,12,CP15-1629
10990,3,Ho02-0090
10991,6,CP09-2333
10992,2,CP03-1656
10993,3,CPCL01-6131
10994,2,CP15-4603
10995,5,CP93-1078
10996,7,CP14-1511
10997,18,CP16-2192
10998,6,CP11-2388
10999,3,CP83-0617
11000,2,CP02-2527
11001,34,CP93-1673
11002,2,CP96-1153
11003,22,CP03-1514
11004,13,POLY03-10
11005,0,08P8
11006,0,L18-0458
11007,17,CP98-1748
11008,19,CP17-2209
11009,9,CP11-2517
11010,7,CP18-1288
11011,7,CP16-1124
11012,3,L62-0114
11013,6,CP07-1087
11014,13,CP04-1158
11015,10,CP16-2325
11016,3,CP85-0803
11017,0,CP15-2549
11018,18,CP18-1150
11019,27,CP97-1925
11020,20,CP10-1485
11021,3,CP92-1829
11022,6,CP10-1572
11023,7,CP17-1413
11024,7,CP18-4904
11025,11,CP15-1727
11026,5,CP95-1406
11027,27,CP96-1282
11028,1,CP92-1596
11029,11,CP01-1112
11030,6,CP13-2332
11031,3,CP92-1281
11032,2,CP01-2289
11033,12,CP11-1936
11034,8,CP18-4564
11035,14,CP92-1397
11036,3,CP92-1558
11037,0,CP15-1619
11038,18,CP17-1883
11039,9,CP13-1935
11040,18,CP14-2216
11041,7,CP14-1293
11042,6,CP09-1399
11043,2,CP02-1626
11044,2,CP14-1911
11045,8,CP18-4417
11046,0,HoCP96-0557
11047,7,CP17-1474
11048,12,CP14-1385
11049,5,CP18-1352
11050,8,CP07-1752
11051,6,CP11-1830
11052,18,Ho17-0732
11053,22,CP99-1405
11054,28,CP14-1830
11055,4,CP06-2359
11056,5,CP94-1165
11057,17,CP97-2011
11058,6,CP09-2095
11059,5,CP96-1386
11060,6,CP09-2467
11061,9,CP16-2263
11062,12,CP15-1452
11063,12,CPCL05-1246
11064,13,CPCL14-4027
11065,6,CP10-1222
11066,10,CP16-4544
11067,11,CP04-1601
11068,17,CP92-1745
11069,0,Ho17-0734
11070,0,CP10-2418
11071,3,L95-0479
11072,4,CP06-3073
11073,0,HoCP09-0813
11074,0,Ho17-9113
11075,8,CP19-2449
11076,16,CP14-1579
11077,0,L98-0187
11078,4,CP05-1736
11079,7,CP19-1341
11080,17,CP92-1722
11081,1,CP92-1307
11082,17,CP99-1695
11083,10,CP17-4575
11084,13,CP13-1083
11085,0,CP17-1268
11086,16,CP14-1624
11087,18,CP17-2059
11088,3,L92-0291
11089,2,CP11-1434
11090,1,CP02-1993
11091,0,CP18-4239
11092,17,CP90-1542
11093,19,CP19-1310
11094,7,CP14-1657
11095,0,L19-0010
11096,22,CP98-1701
11097,8,CP14-2358
11098,19,CP09-1216
11099,7,CP19-1003
11100,10,CP16-1684
11101,7,CP14-1258
11102,29,CP19-1782
11103,20,CP10-2491
11104,2,CP01-1551
11105,6,CP10-1365
11106,19,CP11-1021
11107,1,CP97-1493
11108,2,CP02-2430
11109,0,Ho15-9361
11110,6,CP10-1097
11111,8,CP18-1394
11112,23,CP13-2148
11113,23,CP13-2365
11114,28,CP14-4243
11115,4,CP06-2070
11116,18,CP16-1796
11117,1,CP02-1532
11118,0,HoCP22-732
11119,5,CP98-1017
11120,0,HoCP03-0744
11121,19,CP19-1636
11122,5,CP96-1455
11123,27,CP97-1389
