pagerank,vertex
1.9956527e-05,CP16-1949
1.9711624e-05,CP17-4133
1.9949943e-05,CP04-2082
2.06381e-05,CP93-1067
2.6157473e-05,CP01-2169
2.0992185e-05,CP07-1422
2.0274854e-05,CP09-2315
1.9688274e-05,CP15-4184
2.0064757e-05,CP02-2044
1.9686135e-05,CP17-4284
2.0139716e-05,CP12-2074
1.969534e-05,CP13-2355
2.3394356e-05,Ho07-9023
1.9809288e-05,CP11-1645
1.980081e-05,CP17-2354
2.0570325e-05,L98-0175
1.9946743e-05,CP01-2172
1.9858655e-05,CP16-4759
1.9662935e-05,CP93-1099
1.9729927e-05,CP00-1358
2.0268768e-05,CP06-2848
1.975144e-05,CP97-1003
1.9698386e-05,CP92-1435
2.201423e-05,CP11-1941
2.1735588e-05,CP02-1733
1.9638474e-05,CP04-1613
2.5275598e-05,Ho20-9012
1.9760771e-05,HoCP05-0908
2.0441206e-05,CP10-1560
1.9738605e-05,CP02-2170
1.9697869e-05,CP16-1123
1.9663372e-05,CP01-1291
1.9640866e-05,CP14-1719
2.3804083e-05,HoCP95-0960
2.0602594e-05,CPCL05-1173
2.06921e-05,CP16-2473
1.9659525e-05,CP01-2573
2.2981683e-05,CP10-2175
1.9639221e-05,CP14-2129
1.964112e-05,CP99-1182
2.0139325e-05,HoCP03-0746
1.985433e-05,CP98-1834
3.8209797e-05,Ho90-0010
2.0671208e-05,L02-0326
1.9889078e-05,CP02-1782
1.9768551e-05,CP97-1105
1.9878285e-05,CP01-2429
2.204265e-05,CP11-1413
1.9674113e-05,CP19-1278
1.9674046e-05,CP06-2886
1.9638663e-05,CP15-1393
2.2569526e-05,CP15-1847
2.066383e-05,CP13-4154
1.99316e-05,CP13-4134
2.0637313e-05,L99-0218
1.9674113e-05,CP19-1280
2.1652688e-05,HoCP02-0614
1.9852936e-05,CP12-1234
1.9950983e-05,CP18-1784
1.978771e-05,CP09-1941
3.6279023e-05,CP96-1297
3.6738136e-05,CP90-0925
2.8567894e-05,CP96-1425
1.9866255e-05,CP13-2413
2.0545333e-05,CP97-1772
1.9903684e-05,CP99-1050
2.0928957e-05,CP14-2441
1.9745337e-05,CP93-1706
1.9695843e-05,CP04-1522
3.664138e-05,EPC54839
2.5147245e-05,CP90-1669
2.1613785e-05,L05-0448
1.9748531e-05,CP98-1989
1.9770803e-05,CP97-1613
1.9984614e-05,CP17-2078
1.9695359e-05,CP95-1335
1.963029e-05,CP16-1931
2.0154203e-05,CP14-1647
1.9637297e-05,CP15-1696
1.9687788e-05,CP17-1040
2.0196445e-05,CP18-2416
2.0034895e-05,CP11-1265
2.8071909e-05,L91-0258
1.9981342e-05,CPCL14-4050
1.97217e-05,CP06-3078
2.027426e-05,Ho13-0720
1.984724e-05,CP12-2305
2.3651897e-05,Ho17-0742
5.1284504e-05,Co331
2.5366802e-05,CP10-1641
1.9650639e-05,CP02-2532
2.0037756e-05,CP15-2220
2.0053192e-05,CP11-2198
2.0922758e-05,CP17-2012
1.9823576e-05,CP01-2588
1.9847193e-05,CP18-4048
1.9769801e-05,L19-0490
1.9683304e-05,CP10-1809
1.9678004e-05,CP93-1327
1.9793384e-05,CP14-2289
1.9783338e-05,HoL15-0919
1.98858e-05,CP15-1482
3.6314115e-05,HoCP01-0523
1.9945915e-05,CP00-2144
1.9629608e-05,CP02-1434
1.9857767e-05,LCP82-0083
1.96919e-05,CP15-1476
2.1149865e-05,CP09-1101
2.0922213e-05,LCP84-0239
1.9925139e-05,CP18-1388
3.0806517e-05,HoCP11-0545
1.9681094e-05,CP16-4677
1.9633406e-05,CP15-2492
1.9782914e-05,CP17-4623
1.9948522e-05,CP97-1218
1.9826974e-05,CP14-4581
1.9921674e-05,CP02-1049
1.9767736e-05,CP97-1559
1.9686135e-05,CP19-4304
1.973642e-05,CP15-1253
1.972248e-05,CP99-1308
1.9647134e-05,CP03-1804
2.8181328e-05,CP91-0500
2.0539486e-05,HoCP02-0647
1.9735178e-05,CP02-1325
1.974244e-05,CP04-1214
1.9648225e-05,CP00-1548
2.1983178e-05,CP03-2086
1.9679983e-05,CP95-1702
2.0346242e-05,CP11-2463
2.449186e-05,HoCP94-0804
1.9668643e-05,CP93-1177
2.0041034e-05,CP01-2141
1.9702642e-05,CP11-2081
1.9948522e-05,CP97-1194
2.8015675e-05,Ho10-9211
1.9713294e-05,CP15-4029
1.9766163e-05,L96-0048
1.9886238e-05,CP10-1797
2.0772033e-05,CP97-1644
1.9660822e-05,L01-0293
1.963668e-05,CP19-1237
2.0475662e-05,CP94-1077
2.0833406e-05,CP91-1458
1.9930156e-05,CP14-2505
1.9663765e-05,CP14-2095
2.0080237e-05,CP99-1876
1.9985879e-05,CP93-1106
1.969117e-05,CP13-1266
2.1156857e-05,L84-0288
1.9733043e-05,CP03-1576
1.962586e-05,CP19-1230
1.9833764e-05,CP19-4234
2.1770322e-05,Ho03-0016
2.5219691e-05,CP15-4075
2.1418931e-05,CP16-1564
1.9852538e-05,CP97-1234
1.9933901e-05,CP11-2432
2.0478388e-05,HoCP08-0724
3.742117e-05,Ho11-0524
2.0819269e-05,CP03-1505
2.4806772e-05,Ho01-0040
1.973773e-05,CP16-1107
2.0091498e-05,CP88-0729
1.9856401e-05,CP15-2198
1.967515e-05,CP17-2057
2.0367765e-05,CP19-1734
2.0322503e-05,CP98-2024
2.0928957e-05,CP14-2439
1.9826854e-05,CP18-1583
1.9986677e-05,CP00-1009
1.9765745e-05,CP09-1521
1.9622308e-05,CP04-1020
1.983995e-05,CP92-1780
0.00011601307,PT41-0223
2.0018708e-05,CP19-1387
2.0455935e-05,CP93-1677
2.5293437e-05,Ho10-0920
1.9713449e-05,CP18-1214
1.9979387e-05,CP18-4872
1.9727355e-05,CP95-1834
1.9916151e-05,CP97-1923
1.9730252e-05,CP17-1411
1.9861196e-05,CP98-1877
1.9966088e-05,CP19-2340
1.9658897e-05,CP06-2134
1.9754065e-05,CP16-1079
1.9671876e-05,CP17-4780
1.9655825e-05,CP17-1910
1.999826e-05,CP83-0649
5.363087e-05,L96-0091
3.650183e-05,L89-0128
1.9805677e-05,CP16-1882
1.9680447e-05,HoCP01-0541
1.9694704e-05,CP01-1276
1.9956527e-05,CP15-2239
1.9689744e-05,CP02-1255
1.9724046e-05,CP15-4584
1.9696503e-05,CP16-2477
1.9788376e-05,CP14-2176
1.9686582e-05,CP16-1760
1.980151e-05,CP04-1256
1.984904e-05,CP14-4219
2.2554783e-05,HoCP10-0905
1.9760648e-05,CP01-1874
2.1576281e-05,Ho13-0717
2.1335658e-05,Ho12-0611
2.4189363e-05,CP90-0951
2.2166207e-05,CP17-2488
2.0341224e-05,CP15-1060
2.1358033e-05,CP94-1293
2.2654936e-05,Ho78-0002
1.9657664e-05,CP01-1559
2.0280606e-05,CP13-1210
1.9765184e-05,CP17-1547
3.295634e-05,Ho20-9046
4.9483304e-05,Ho20-9041
1.9720695e-05,CP16-1218
1.9911704e-05,CP13-1512
1.9763787e-05,CP14-4378
2.072749e-05,CP13-2210
1.9758487e-05,CP19-1644
1.9953497e-05,CP11-1427
1.9903364e-05,CP94-1347
1.9647134e-05,CP02-1338
1.9661424e-05,CP02-2093
1.9697869e-05,CP16-1121
1.9666384e-05,CP00-1190
1.9826757e-05,CP96-1443
1.9658897e-05,CP04-1643
1.9966219e-05,CP00-1730
3.3662927e-05,Ho20-9006
1.9976838e-05,CP93-1638
1.977287e-05,CP96-1672
2.9306399e-05,Ho13-9105
2.4821982e-05,HoCP95-0933
2.3370658e-05,CP06-3126
1.9973799e-05,Ho98-0007
1.9736566e-05,CP98-1311
2.0504918e-05,CP94-1472
1.979255e-05,CP04-1657
1.9929596e-05,CP97-1717
2.0039346e-05,CP00-2138
2.0041953e-05,CP19-1465
1.9886238e-05,CP10-1795
2.33917e-05,L07-0060
2.0261605e-05,CP15-1314
1.9721881e-05,CP03-1328
1.9843803e-05,CP02-1412
1.9781935e-05,CP04-1186
3.9835144e-05,CP57-0071
1.9773122e-05,CP19-4861
1.9726662e-05,CP11-2298
1.9663372e-05,CP01-1294
3.1413543e-05,Ho01-0014
1.9711812e-05,CP02-3004
2.0221525e-05,CP12-1526
1.968705e-05,CP19-4352
1.9643332e-05,CP14-1251
1.9702642e-05,CP11-2082
1.9733043e-05,CP03-1573
2.0017065e-05,CP03-1390
2.8168124e-05,CP14-1243
2.1164571e-05,CP07-1228
1.9692288e-05,CP03-1208
1.9724377e-05,CP02-1463
2.0304748e-05,CP02-2323
2.0620306e-05,CP07-2021
2.059034e-05,Ho12-0632
1.9769252e-05,CP01-1733
1.965205e-05,CP01-2251
2.190688e-05,L95-0457
1.9949943e-05,CP06-3060
1.96574e-05,CP99-1009
2.2341042e-05,CP62-0258
1.9669971e-05,CP14-4384
2.0299904e-05,CPCL06-3519
1.9729927e-05,CP02-2213
1.9696832e-05,CP14-1513
1.9725634e-05,CP06-2061
1.9732413e-05,CP12-2261
1.9877907e-05,CP90-0956
1.9671641e-05,CP17-4656
6.2289575e-05,CL47-0143
1.972005e-05,CP00-1261
2.0399542e-05,CP96-1096
1.965835e-05,CP03-1671
2.5474224e-05,Ho09-9136
1.9918809e-05,CP09-2112
2.0145424e-05,CP01-1770
1.9636553e-05,CP16-4575
1.9727953e-05,CP03-1020
2.4739007e-05,CPCL05-1165
1.9653182e-05,CP15-1172
2.1717704e-05,Ho97-0022
